QUIZ BASE 2022 PATENTE NAUTICA;None;RISPOSTA 1                    V/F;RSPOSTA 2                        V/F;RISPOSTA 3                         V/F;
33;None;"La ""losca"" e':";un foro per il quale passa la catena dell'ancora quando viene dato fondo.;F;un'apertura, ricavata nella poppa, per la quale passa l'asse del timone.;V;la parte piu' bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.;F
34;None;Il beccheggio e' l'oscillazione dell'unita' intorno al suo asse:;trasversale.;V;longitudinale.;F;verticale.;F
35;None;La parte strutturale della poppa, alla quale si incardina il timone, se esterno, e':;il dritto di poppa.;V;la losca del timone.;F;il ginocchio di poppa.;F
36;None;Le strutture verticali, che suddividono internamente lo scafo, sono:;le murate.;F;le paratie.;V;il pagliolato.;F
37;None;La carena e':;l'opera viva.;V;la parte esterna dello scafo.;F;l'opera morta.;F
38;None;Una sovrastruttura e' quella parte della nave che si eleva al di sopra del:;pagliolato.;F;paramezzale.;F;ponte di coperta nel caso di unita' con unico ponte.;V
39;None;La tuga e':;la sovrastruttura abitabile innalzata sopra un ponte.;V;un elemento costruttivo ubicato sotto il ponte.;F;un vano destinato al ricovero di cime, vele e accessori.;F
40;None;La sagola e':;la corda piu' lunga.;F;una sartia volante.;F;una sartia volante.;V
41;None;Cosa si intende per giardinetto?;la parte esterna convessa (a dritta e sinistra) in corrispondenza della prua.;F;la zona piu' esterna e centrale della poppa.;F;la porzione terminale della parte esterna dello scafo, posto in prossimita' della poppa (a dritta e a sinistra), con profilo spigoloso o tondeggiante.;V
42;None;Cosa e' il boccaporto?;il giardinetto come la parte curva dello scafo vicino alla prora.;F;il trincarino come la protezione esterna dello scafo.;F;l'apertura nel ponte di coperta per il passaggio all'interno di persone o cose.;V
43;None;Qual e' la funzione degli zinchi?;evitare le corrosioni galvaniche.;V;aumentare la zavorra.;F;impedire che l'acqua filtri all'interno dello scafo.;F
44;None;Il flying bridge, detto anche fly, e':;il ponte superiore di una unita' a motore, dove e' collocata la seconda timoneria.;V;il ponte principale, dove si trova la timoneria principale.;F;un tipo di vela.;F
45;None;Cos'e' il baglio massimo:;la distanza verticale tra la linea di galleggiamento e la parte superiore della chiglia.;F;il peso totale che la nave puo' trasportare.;F;la larghezza massima dello scafo.;V
46;None;Il pagliolo di un'imbarcazione da diporto e':;una trave longitudinale che sostiene i bagli.;F;un piano amovibile e calpestabile sotto coperta.;V;un elemento essenziale per il rinforzo trasversale dell'imbarcazione.;F
47;None;La distanza verticale posta tra la coperta e la linea di galleggiamento e':;il bordo libero.;V;l'immersione.;F;l'opera viva.;F
48;None;Cosa e' la sezione maestra dello scafo?;la sezione trasversale centrale che, normalmente, ha maggior larghezza;V;la zona in cui si comanda.;F;la sezione iniziale dello scafo;F
49;None;In un'imbarcazione da diporto la tuga e':;la sovrastruttura elevata sulla coperta, che non si estende per tutta la larghezza dell'unita'.;V;il pozzetto a poppa ovvero la parte ribassata rispetto al piano di coperta.;F;la sovrastruttura elevata sulla coperta, che si estende per tutta la larghezza dell'unita'.;F
50;None;I candelieri sono:;fanali bianchi da accendere in caso di emergenza.;F;gli appigli orizzontali di sicurezza.;F;elementi verticali delle battagliole.;V
51;None;Il piano di calpestï¿½o piu' basso di un'imbarcazione da diporto si chiama:;sentina.;F;coperta.;F;pagliolato.;V
52;None;La carena viene detta dislocante se e' del tipo:;piatta.;F;catamarano.;F;tonda.;V
53;None;La linea di galleggiamento:;e' la linea che divide lo scafo in opera viva e opera morta.;V;e' la parte terminale superiore della fiancata.;F;indica il limite superiore del bordo libero.;F
54;None;Un catamarano:;non plana e navigando sposta l'acqua a destra e a sinistra.;F;non plana e si alza sul filo dell'acqua.;F;presenta due scafi.;V
55;None;Il timone e' compensato quando:;e' dotato di sistema di comando idraulico.;F;una parte della pala e' a proravia dell'asse.;V;e' fissato allo specchio di poppa a mezzo di cerniere.;F
56;None;Come si chiama la superficie del timone su cui agisce la pressione dell'acqua?;asse.;F;pala.;V;ruota.;F
57;None;Il timone e' compensato se:;una parte della pala e' a proravia dell'asse.;V;una parte della pala e' a poppavia dell'asse.;F;la pala e' dotata di asse in alluminio.;F
58;None;La freccia verso l'unita' rappresentata in figura a fianco indica il:;mascone.;F;traverso.;V;giardinetto.;F
59;None;Le frecce in figura indicano:;il mascone di sinistra.;F;la murata sinistra.;V;il giardinetto di sinistra.;F
60;None;Le frecce in figura indicano:;il baglio massimo.;F;il mascone di dritta.;F;la murata di dritta.;V
61;None;I tubolari sono:;i tubi di scarico del pozzetto, collegati agli ombrinali.;F;le parti esterne di un battello pneumatico, che ne garantiscono una parte della riserva di galleggiamento.;V;l'insieme degli elementi a protezione del camminamento per il passaggio tra poppa e prora.;F
62;None;Per RIB (o RHIB) si intende:;i battelli pneumatici con chiglia rigida.;V;il musone di prua dove e' alloggiata l'ancora.;F;e' un nome di fantasia.;F
63;None;Si chiama musone:;e' un nome di fantasia.;F;l'attacco del timone sullo specchio di poppa.;F;la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell'ancora.;V
64;None;Il passascafo e':;la parte filettata che attraversa lo spessore della carena e si connette alla presa a mare nelle tubazioni che trasportano l'acqua alle o dalle varie utenze.;V;il foro da cui defluisce l'acqua dal pozzetto.;F;il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.;F
65;None;Il pozzetto e':;la parte esterna di un'imbarcazione dove solitamente sono posizionate le manovre e il timone, destinata ad accogliere gli ospiti in sicurezza.;V;il punto di raccolta di eventuali perdite di fluidi del motore.;F;l'apertura per far defluire l'acqua presente in coperta.;F
66;None;Il pulpito e':;l'attacco della ruota del timone.;F;la protezione dalle cadute posta a estrema prua e estrema poppa, solitamente in tubo di acciaio, cui e' ancorata la battagliola.;V;la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell'ancora.;F
67;None;Si dicono prese a mare:;le valvole, poste in connessione con i passascafo, che consentono di chiudere l'ingresso dell'acqua all'interno della barca.;V;le elichette che fuoriescono dallo scafo con cui il log determina la velocita' dello scafo.;F;e' un termine di fantasia.;F
68;None;In base alle prestazioni nautiche dei principali tipi di scafo, si puo' affermare che:;"la carena a ""V"" profonda affronta meglio il moto ondoso molto formato.";V;la carena dislocante e' la piu' adatta alla planata.;F;la carena piatta e' la piu' adatta per affrontare il moto ondoso formato.;F
69;None;Il roll'o e' l'oscillazione dell'unita' intorno al suo asse:;longitudinale.;V;verticale.;F;trasversale.;F
70;None;La carena viene detta dislocante se:;se in un dato momento non plana.;F;plana e si alza sul filo dell'acqua.;F;e' tonda oppure a V profondo.;V
71;None;La carena viene detta dislocante se e' del tipo:;non plana e navigando sposta l'acqua a destra e a sinistra.;V;plana e si alza sul filo dell'acqua.;F;presenta due scafi.;F
72;None;Per trim si intende:;una tipologia di carena.;F;il pistone idraulico che va ad agire sulla posizione del motore fuoribordo modificando l'angolo tra lo specchio di poppa e il gambo del motore stesso.;V;il sistema di comunicazione radio.;F
73;None;I flaps sono:;appendici immerse, montate sullo specchio di poppa, per influire sull'assetto della carena.;V;le alette delle imbarcazioni a vela.;F;non esistono, e' un nome di fantasia.;F
74;None;I flaps:;sono montati sullo specchio di poppa, sono sempre due, uno sull'estremita' destra e l'altro sull'estremita' sinistra.;V;sono montati uno sullo specchio di poppa e l'altro subito al di sotto della prua.;F;sono sempre due, montati subito al di sotto della prua.;F
75;None;Il controllo dei flaps e' solitamente:;manuale, effettuato tramite dei leveraggi disposti nella zona poppiera dell'unita'.;F;regolato dal cantiere all'atto della prima messa in acqua.;F;realizzato attraverso il monitoraggio di un display, normalmente posto sulla plancia, analogico o digitale, che indica la loro altezza.;V
76;None;Tra un'elica a passo fisso, una a pale abbattibili ed una a pale orientabili, l'elica che  ha il minor rendimento a marcia indietro e' quella a:;pale orientabili.;F;pale fisse.;F;pale abbattibili.;V
77;None;In retromarcia con un'unica elica destrorsa:;la poppa ruota piu' facilmente a sinistra.;V;la poppa ruota piu' facilmente a dritta.;F;e' indifferente.;F
78;None;Unita' da diporto a motore con a dritta elica destrorsa si puo' ragionevolmente ritenere che quella di sinistra:;non ha importanza, perche' puo' essere indifferentemente sinistrorsa o destrorsa in quanto, in entrambi i casi, l'unita' evoluisce sempre allo stesso moto ed alle;F;e' sinistrorsa.;V;tende a spostare la prua lateralmente verso sinistra.;F
79;None;In retromarcia con un'unica elica sinistrorsa:;la poppa ruota piu' facilmente a sinistra.;F;la poppa ruota piu' facilmente a dritta.;V;e' indifferente.;F
80;None;Su un'unita' munita di due motori, le eliche generalmente sono:;sinistrorsa a sinistra e destrorsa a dritta.;V;entrambe sinistrorse.;F;entrambe destrorse.;F
81;None;In navigazione a motore, dov'e' ubicato, rispetto al centro nave, l'asse di rotazione intorno al quale l'unita' accosta?;verso prua.;V;verso poppa.;F;al centro.;F
82;None;Un'elica e' destrorsa se, guardando la poppa dall'esterno, le pale:;girano in senso orario in marcia indietro.;F;girano in senso orario in marcia avanti.;V;girano in senso antiorario in marcia avanti.;F
83;None;Cosa, oltre la spinta esercitata dalle singole pale, influisce sull'effetto evolutivo dell'elica?;la rapidita' dell'invertitore di inserire una marcia.;F;il diametro del mozzo dell'elica.;F;il flusso d'acqua spinto contro la pala del timone o la carena.;V
84;None;Il timone compensato serve a:;avere un timone piu' robusto.;F;allontanare dall'asse di rotazione il punto di applicazione della risultante della pressione esercitata dall'acqua sulle pale.;F;ridurre la resistenza della pala alla rotazione e quindi la durezza della barra/ruota.;V
85;None;Un timone compensato e' quel timone:;di rispetto.;F;i cui effetti evolutivi sono compensati da quelli dell'elica.;F;che presenta una parte della pala a proravia dell'asse.;V
86;None;Com'e' definita la differenza tra la distanza teorica e quella effettiva percorsa da un'elica in un giro completo?;passo.;F;diametro.;F;regresso.;V
87;None;L'effetto evolutivo di un'elica destrorsa in rotazione all'indietro (retromarcia) fa ruotare:;sia la poppa sia la prora verso dritta.;F;la poppa verso dritta, quindi la prora verso sinistra.;F;la poppa verso sinistra, quindi la prora verso dritta.;V
88;None;Qual e' l'angolo di rotazione del timone (intorno al suo asse) per ottenere il massimo effetto di governo?;tra 90 gradi e 115 gradi.;F;tra 50 gradi e 90 gradi.;F;tra 30 gradi e 40 gradi.;V
89;None;In marcia avanti, portando la ruota del timone a sinistra, come si comporta la poppa dell'unita'?;accosta a dritta.;V;accosta a sinistra.;F;orza.;F
90;None;Un'elica si definisce sinistrorsa quando, guardando la poppa dall'esterno, le pale girano in senso:;antiorario nella marcia avanti.;V;antiorario nella marcia indietro.;F;orario nella marcia avanti.;F
91;None;La distanza teorica che un'elica percorrerebbe in un giro completo se l'acqua fosse solida e' denominata:;passo teorico.;V;diametro teorico.;F;regresso teorico.;F
92;None;L'elica con passo lungo e diametro piccolo, rispetto a una, che al contrario, ha passo piccolo e diametro piu' grande:;produce maggiore velocita'.;V;produce maggior spinta.;F;e' indifferente.;F
93;None;In generale, oltre all'accostata, l'impiego del timone con pala produce i seguenti effetti:;spostamento laterale sul lato dell'accostata, lieve appoppamento.;F;riduzione di velocita', spostamento laterale sul lato opposto a quello della pala, leggero appruamento.;V;esclusivamente lo sbandamento.;F
94;None;La curva di evoluzione:;e' riferita alla velocita' dell'unita'.;F;e' la traiettoria descritta dall'unita' che accosta verso dritta ovvero sinistra.;V;descrive la rotazione del timone;F
95;None;Riguardo al funzionamento del timone a barra, abbiamo che:;se in moto avanti, con barra a dritta la prora accosta a dritta.;F;se in moto indietro, con barra a dritta la poppa accosta a sinistra.;V;se in moto indietro, con barra a dritta la poppa accosta a dritta.;F
96;None;Per effettuare un corretto ormeggio di poppa alla banchina:;si retrocede perpendicolarmente alla banchina presentando il mascone e correggendo solo col timone.;F;con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina.;V;con elica destrorsa, si retrocede perpendicolarmente alla banchina correggendo con il timone a sinistra.;F
97;None;Effettuo un ormeggio di fianco (all'inglese) con un'elica destrorsa:;se aziono il motore in marcia indietro avvicino la prua alla banchina;F;l'unita' si muove parallelamente alla banchina.;F;con la banchina a sinistra, si da' marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio.;
98;None;L'effetto evolutivo dell'elica e' maggiore con un'unita':;abbriviata a marcia indietro.;F;abbriviata a marcia avanti.;F;senza abbrivio e con marcia inserita.;V
99;None;Si ha cavitazione nel momento in cui l'elica:;non raggiunge il regime minimo dei giri.;F;oltrepassa il limite dei giri e non si ha piu' la spinta propulsiva.;V;s'impiglia in un cavo.;F
100;None;Con elica sinistrorsa, se manovro in marcia indietro:;con il timone al centro, la poppa accosta a sinistra.;F;con il timone al centro, la poppa accosta a dritta.;V;l'unita' procede dritta.;F
101;None;Se un'unita' da diporto a motore bielica ha a sinistra un'elica sinistrorsa, si puo' ragionevolmente ritenere che quella di dritta:;e' destrorsa.;V;puo' essere indifferentemente destrorsa o sinistrorsa.;F;e' destrorsa anch'essa.;F
102;None;Il timone e' compensato quando:;e' dotato di sistema di comando idraulico.;F;una parte della pala e' a proravia dell'asse.;V;e' fissato allo specchio di poppa a mezzo di cerniere.;F
103;None;Con elica destrorsa, manovro in marcia indietro:;tenendo il timone al centro, la poppa accosta a dritta.;F;con il timone a dritta, limito l'accostata della poppa a sinistra.;V;con il timone a sinistra, accentuo l'accostata della poppa a dritta.;F
104;None;Manovrando una unita' da diporto dotata di due linee d'asse (destrorsa a dritta e sinistrorsa a sinistra) si ha che:;con il solo motore di dritta in marcia indietro (fermo il motore di sinistra), la prora accosta a dritta.;V;con il motore di dritta in marcia avanti e con quello di sinistra in marcia indietro, si ruota sul posto in senso orario.;F;con il solo motore di sinistra in marcia indietro (fermo il motore di dritta), la poppa accosti a sinistra.;F
105;None;Un'elica destrorsa:;in marcia avanti tende a far accostare la poppa a sinistra.;F;se vista da poppa, in marcia avanti l'elica gira in senso antiorario.;F;in marcia indietro, l'elica tende a far accostare la poppa a sinistra.;V
106;None;Sulla manovra e il funzionamento del timone a barra, senza considerare l'effetto dell'elica, abbiamo che:;con barra a sinistra, la prua va a sinistra.;F;con barra a sinistra, la prua va a dritta.;V;con barra a sinistra, in moto indietro la poppa va a sinistra.;F
107;None;Ruotando la ruota a sinistra nel moto in avanti accade che la:;prora vada a sinistra.;V;prora vada a dritta.;F;poppa vada a sinistra.;F
108;None;Un'elica sinistrorsa:;guardando la poppa dall'esterno, in marcia avanti gira in senso antiorario.;V;in marcia avanti, tende a fare accostare la poppa a dritta.;F;in marcia indietro, tende a fare accostare la prora a dritta.;F
109;None;Con un motore fuoribordo:;in marcia avanti, ruotando il piede a dritta, la poppa accosta a dritta.;F;l'effetto evolutivo dell'elica e' piu' importante rispetto a quello generato con un entrobordo monoelica.;F;in marcia avanti, ruotando il piede a dritta, la poppa accosta a sinistra.;V
110;None;Un'elica destrorsa:;in marcia indietro, l'elica ruota in senso antiorario.;V;in marcia indietro, con timone al centro, la poppa si sposta verso dritta.;F;in marcia avanti, con timone al centro, la poppa si sposta verso sinistra.;F
111;None;Il timone avente tutta la pala a poppavia dell'anima e' denominato:;compensato.;F;ordinario.;V;comune.;F
112;None;Installando un timone compensato si ottiene che:;si riesce a far ruotare il timone fino a circa 90 gradi.;F;e' richiesto uno sforzo minore per girare la ruota.;V;l'unita' ruota decisamente di piu'.;F
113;None;Come ci si deve comportare per manovrare in caso di avaria al timone su una barca di piccole dimensioni?;non si puo' manovrare per cui conviene chiedere aiuto.;F;immergendo un remo sul lato sinistro per virare a sinistra.;V;immergendo un remo sul lato sinistro per virare a dritta.;F
114;None;Con motore entrobordo ed elica sinistrorsa, in marcia avanti e con il timone al centro:;la poppa tende ad evoluire verso sinistra.;V;l'unita' avanza con moto diritto.;F;la prora tende ad evoluire verso sinistra.;F
115;None;Con motore entrobordo ed elica sinistrorsa, in retromarcia e con il timone al centro, accade che:;l'unita' indietreggia con moto diritto.;F;la poppa tende ad evoluire verso dritta.;V;la poppa tende ad evoluire verso sinistra.;F
116;None;l'effetto evolutivo dell'elica su un motore entrobordo si compensa:;usando un'elica particolare.;F;inclinando leggermente l'asse- portaelica.;F;con il timone.;V
117;None;Cosa si intende per timoni accoppiati di un'unita'?;la condizione in cui il timone principale e quello di emergenza si muovono in sincronia.;F;due timoni uguali e simmetrici utilizzati su alcune unita' navali bielica che agiscono in sincronia.;V;la condizione in cui i due timoni montati a bordo sono collegati al pilota automatico.;F
118;None;In un'unita' bielica (con due assi portaelica), per quale motivo l'elica di dritta e' destrorsa e l'elica di sinistra e' sinistrorsa?;per garantire una costante velocita' di crociera.;F;per eliminare il fenomeno di cavitazione dell'elica.;F;per eliminare l'effetto laterale delle pale.;V
119;None;In generale, quale effetto produce un'elica destrorsa in marcia avanti su un'unita' navale monoelica con il timone al centro?;la prua si spostera' verso sinistra e la poppa verso dritta.;V;la prua si spostera' verso dritta e la poppa verso sinistra.;F;poppa tendera' ad abbassarsi e la prua ad innalzarsi.;F
120;None;In generale, quale effetto produce un'elica sinistrorsa in marcia avanti su un'unita' navale monoelica con il timone al centro?;la poppa tendera' ad abbassarsi e la prua ad innalzarsi.;F;la prua si spostera' verso sinistra e la poppa verso dritta.;F;la prua si spostera' verso dritta e la poppa verso sinistra.;V
121;None;Cosa si intende per assetto di un'unita' navale?;la posizione di equilibrio assunta nel piano longitudinale (prua - poppa).;V;la posizione di equilibrio assunta nel piano trasversale (dritta - sinistra).;F;la posizione di equilibrio assunta nel piano verticale.;F
122;None;Cosa si intende per rollio di un'unita' navale?;la rotazione lungo l'asse longitudinale dell'unita', che determina l'inclinazione della stessa a dritta e a sinistra.;V;la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.;F;la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.;F
123;None;Cosa si intende per beccheggio di un'unita'?;la rotazione lungo l'asse longitudinale dell'unita' navale, che determina l'inclinazione della stessa a dritta e a sinistra.;F;la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.;V;la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.;F
124;None;Cosa si intende per accostata di un'unita'?;la rotazione dell'unita' lungo l'asse longitudinale dell'unita', che determina l'inclinazione della stessa in maniera alternata a dritta e a sinistra.;F;la rotazione dell'unita' lungo l'asse trasversale, che determina l'immersione della parte prodiera e il contestuale sollevamento della parte poppiera.;F;la rotazione dell'unita'  lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.;V
125;None;Il peso della nave corrisponde a:;la portata.;F;la stazza.;F;il dislocamento.;V
126;None;Di norma il motore diesel viene spento:;lasciando esaurire la benzina nel serbatoio.;F;mettendo a massa la bobina.;F;impedendo al carburante di affluire alla pompa di iniezione.;V
127;None;Prima di avviare un motore entrobordo a benzina, qual e' la prima operazione da compiere?;aprire i rubinetti del circuito di raffreddamento a ciclo chiuso.;F;far aerare il vano motore.;V;verificare che le candele siano ben inserite.;V
128;None;Il principale problema, in termini di sicurezza, di un motore a benzina e':;l'accumulo di vapori di benzina nel vano motore.;V;la minore volatilita' della benzina rispetto al gasolio.;F;le esalazioni di vapori di benzina dal tubo di scarico.;F
129;None;Cosa puo' determinare il danneggiamento della girante del circuito di raffreddamento di un motore fuoribordo?;la miscela troppo ricca.;F;il funzionamento del fuoribordo quando la sua presa d'acqua si trova al di fuori del livello dell'acqua.;V;la percentuale di aria nella miscela bassa.;F
130;None;Un impianto di aerazione forzata nel vano che alloggia il motore entrobordo diesel di un'unita' da diporto:;e' sconsigliato.;F;e' obbligatorio.;F;non e' obbligatorio, ma e' consigliato.;V
131;None;Quali sono le fasi di un motore a combustione interna a quattro tempi?;cablaggio, alesaggio, corsa, arresto.;F;accensione, lubrificazione, rotazione, riavviamento.;F;aspirazione, compressione, scoppio, scarico.;V
132;None;Ho necessita' di invertire la rotazione dell'elica: e' necessario invertire la rotazione del motore?;no l'inversione della rotazione  dell'elica si ottiene azionando l'apposita leva del sistema riduttore/invertitore.;V;si' azionando l'apposita leva avviene automaticamente l'inversione del senso di rotazione del motore.;F;solo nei motori non muniti del sistema riduttore/invertitore occorre invertire il senso di rotazione del motore.;F
133;None;In generale, la causa piu' comune in base alla quale un motore entrobordo si surriscalda avviene quando:;la presa a mare della pompa dell'acqua si e' occlusa.;V;la pompa di iniezione si e' rotta.;F;si e' sporcato il filtro dell'olio.;F
134;None;"Un motore ""entrofuoribordo"" e' un motore:";esterno allo scafo con organi di trasmissione interni.;F;entrobordo con gli organi di trasmissione riuniti in un piede fuoribordo applicato alla poppa.;V;fuoribordo, che ha un apposito pozzetto interno per alloggiare la testa.;F
135;None;"Con il termine ""spurgare"", riferito a un sistema d'alimentazione di un motore diesel, s'intende:";pulire i filtri del gasolio.;F;eliminare tutta l'aria presente nel circuito di alimentazione carburante prima di riaccendere il motore.;V;svuotare tutto il gasolio presente nel sistema prima di riempire il serbatoio.;F
136;None;"Escludendo problemi all'elica, se un motore diesel ""perde colpi e cala di giri"" e vi e' carburante in quantita' sufficiente cos'e' successo?";si e' ostruita la presa a mare.;F;si e' intasato il filtro dell'olio.;F;nel serbatoio e' presente carburante sporco.;V
137;None;Il sistema propulsivo di una barca a motore e' dato:;dal timone e i suoi accessori.;F;dalle vele.;F;dal motore e dall'elica.;V
138;None;Lo scambiatore di calore in un motore marino entrobordo:;permette il raffreddamento dell'asse portaelica dell'unita' mediante acqua pompata dall'esterno.;F;fa parte del circuito diretto di raffreddamento del motore salpancora.;F;serve per raffreddare il fluido presente nel circuito chiuso mediante l'acqua di mare.;V
139;None;"Com'e' denominato quell'organo del motore marino che permette di alternare le fasi di moto ""marcia avanti - folle - marcia indietro""?";giunto cardanico.;F;astuccio.;F;invertitore.;V
